,PassengerId,Survived,Pclass,Name,Female,Child_rand,Child_mean,FamilySize,Embarked_map
29,30,0,3,"Todoroff, Mr. Lalio",0,0,0,1,0
30,31,0,1,"Uruchurtu, Don. Manuel E",0,0,0,1,1
31,32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",1,0,0,2,1
32,33,1,3,"Glynn, Miss. Mary Agatha",1,1,0,1,2
33,34,0,2,"Wheadon, Mr. Edward H",0,0,0,1,0
34,35,0,1,"Meyer, Mr. Edgar Joseph",0,0,0,2,1
35,36,0,1,"Holverson, Mr. Alexander Oskar",0,0,0,2,0
36,37,1,3,"Mamee, Mr. Hanna",0,0,0,1,1
37,38,0,3,"Cann, Mr. Ernest Charles",0,0,0,1,0
38,39,0,3,"Vander Planke, Miss. Augusta Maria",1,0,0,3,0
39,40,1,3,"Nicola-Yarred, Miss. Jamila",1,1,1,2,1
40,41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0,0,2,0
41,42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,0,0,2,0
42,43,0,3,"Kraeff, Mr. Theodor",0,0,0,1,1
43,44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,1,1,4,1
44,45,1,3,"Devaney, Miss. Margaret Delia",1,0,0,1,2
45,46,0,3,"Rogers, Mr. William John",0,0,0,1,0
46,47,0,3,"Lennon, Mr. Denis",0,0,0,2,2
47,48,1,3,"O'Driscoll, Miss. Bridget",1,1,0,1,2
48,49,0,3,"Samaan, Mr. Youssef",0,0,0,3,1
49,50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,0,0,2,0
50,51,0,3,"Panula, Master. Juha Niilo",0,1,1,6,0
51,52,0,3,"Nosworthy, Mr. Richard Cater",0,0,0,1,0
52,53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",1,0,0,2,1
53,54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,0,0,2,0
54,55,0,1,"Ostby, Mr. Engelhart Cornelius",0,0,0,2,1
55,56,1,1,"Woolner, Mr. Hugh",0,0,0,1,0
56,57,1,2,"Rugg, Miss. Emily",1,0,0,1,0
57,58,0,3,"Novel, Mr. Mansouer",0,0,0,1,1
58,59,1,2,"West, Miss. Constance Mirium",1,1,1,4,0
59,60,0,3,"Goodwin, Master. William Frederick",0,1,1,8,0
60,61,0,3,"Sirayanian, Mr. Orsen",0,0,0,1,1
61,62,1,1,"Icard, Miss. Amelie",1,0,0,1,0
62,63,0,1,"Harris, Mr. Henry Birkhardt",0,0,0,2,0
63,64,0,3,"Skoog, Master. Harald",0,1,1,6,0
64,65,0,1,"Stewart, Mr. Albert A",0,0,0,1,1
65,66,1,3,"Moubarek, Master. Gerios",0,1,1,3,1
66,67,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,0,0,1,0
67,68,0,3,"Crease, Mr. Ernest James",0,0,0,1,0
68,69,1,3,"Andersson, Miss. Erna Alexandra",1,0,0,7,0
69,70,0,3,"Kink, Mr. Vincenz",0,0,0,3,0
70,71,0,2,"Jenkin, Mr. Stephen Curnow",0,0,0,1,0
71,72,0,3,"Goodwin, Miss. Lillian Amy",1,1,1,8,0
72,73,0,2,"Hood, Mr. Ambrose Jr",0,0,0,1,0
73,74,0,3,"Chronopoulos, Mr. Apostolos",0,0,0,2,1
74,75,1,3,"Bing, Mr. Lee",0,0,0,1,0
75,76,0,3,"Moen, Mr. Sigurd Hansen",0,0,0,1,0
76,77,0,3,"Staneff, Mr. Ivan",0,0,0,1,0
77,78,0,3,"Moutal, Mr. Rahamin Haim",0,0,0,1,0
78,79,1,2,"Caldwell, Master. Alden Gates",0,1,1,3,0
79,80,1,3,"Dowdell, Miss. Elizabeth",1,0,0,1,0
80,81,0,3,"Waelens, Mr. Achille",0,0,0,1,0
81,82,1,3,"Sheerlinck, Mr. Jan Baptist",0,0,0,1,0
82,83,1,3,"McDermott, Miss. Brigdet Delia",1,0,0,1,2
83,84,0,1,"Carrau, Mr. Francisco M",0,0,0,1,0
84,85,1,2,"Ilett, Miss. Bertha",1,0,0,1,0
85,86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,0,0,4,0
86,87,0,3,"Ford, Mr. William Neal",0,1,1,5,0
87,88,0,3,"Slocovski, Mr. Selman Francis",0,0,0,1,0
88,89,1,1,"Fortune, Miss. Mabel Helen",1,0,0,6,0
89,90,0,3,"Celotti, Mr. Francesco",0,0,0,1,0
90,91,0,3,"Christmann, Mr. Emil",0,0,0,1,0
91,92,0,3,"Andreasson, Mr. Paul Edvin",0,0,0,1,0
92,93,0,1,"Chaffee, Mr. Herbert Fuller",0,0,0,2,0
93,94,0,3,"Dean, Mr. Bertram Frank",0,0,0,4,0
94,95,0,3,"Coxon, Mr. Daniel",0,0,0,1,0
95,96,0,3,"Shorney, Mr. Charles Joseph",0,0,0,1,0
96,97,0,1,"Goldschmidt, Mr. George B",0,0,0,1,1
97,98,1,1,"Greenfield, Mr. William Bertram",0,0,0,2,1
98,99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",1,0,0,2,0
99,100,0,2,"Kantor, Mr. Sinai",0,0,0,2,0
100,101,0,3,"Petranec, Miss. Matilda",1,0,0,1,0
101,102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",0,0,0,1,0
102,103,0,1,"White, Mr. Richard Frasar",0,0,0,2,0
103,104,0,3,"Johansson, Mr. Gustaf Joel",0,0,0,1,0
104,105,0,3,"Gustafsson, Mr. Anders Vilhelm",0,0,0,3,0
105,106,0,3,"Mionoff, Mr. Stoytcho",0,0,0,1,0
106,107,1,3,"Salkjelsvik, Miss. Anna Kristine",1,0,0,1,0
107,108,1,3,"Moss, Mr. Albert Johan",0,0,0,1,0
108,109,0,3,"Rekic, Mr. Tido",0,0,0,1,0
109,110,1,3,"Moran, Miss. Bertha",1,0,0,2,2
110,111,0,1,"Porter, Mr. Walter Chamberlain",0,0,0,1,0
111,112,0,3,"Zabour, Miss. Hileni",1,1,1,2,1
112,113,0,3,"Barton, Mr. David John",0,0,0,1,0
113,114,0,3,"Jussila, Miss. Katriina",1,0,0,2,0
114,115,0,3,"Attalah, Miss. Malake",1,0,0,1,1
115,116,0,3,"Pekoniemi, Mr. Edvard",0,0,0,1,0
116,117,0,3,"Connors, Mr. Patrick",0,0,0,1,2
117,118,0,2,"Turpin, Mr. William John Robert",0,0,0,2,0
118,119,0,1,"Baxter, Mr. Quigg Edmond",0,0,0,2,1
119,120,0,3,"Andersson, Miss. Ellis Anna Maria",1,1,1,7,0
120,121,0,2,"Hickman, Mr. Stanley George",0,0,0,3,0
121,122,0,3,"Moore, Mr. Leonard Charles",0,0,0,1,0
122,123,0,2,"Nasser, Mr. Nicholas",0,0,0,2,1
123,124,1,2,"Webber, Miss. Susan",1,0,0,1,0
124,125,0,1,"White, Mr. Percival Wayland",0,0,0,2,0
125,126,1,3,"Nicola-Yarred, Master. Elias",0,1,1,2,1
126,127,0,3,"McMahon, Mr. Martin",0,0,0,1,2
127,128,1,3,"Madsen, Mr. Fridtjof Arne",0,0,0,1,0
128,129,1,3,"Peter, Miss. Anna",1,0,0,3,1
129,130,0,3,"Ekstrom, Mr. Johan",0,0,0,1,0
130,131,0,3,"Drazenoic, Mr. Jozef",0,0,0,1,1
131,132,0,3,"Coelho, Mr. Domingos Fernandeo",0,0,0,1,0
132,133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,0,0,2,0
133,134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",1,0,0,2,0
134,135,0,2,"Sobey, Mr. Samuel James Hayden",0,0,0,1,0
135,136,0,2,"Richard, Mr. Emile",0,0,0,1,1
136,137,1,1,"Newsom, Miss. Helen Monypeny",1,0,0,3,0
137,138,0,1,"Futrelle, Mr. Jacques Heath",0,0,0,2,0
138,139,0,3,"Osen, Mr. Olaf Elon",0,1,1,1,0
139,140,0,1,"Giglio, Mr. Victor",0,0,0,1,1
140,141,0,3,"Boulos, Mrs. Joseph (Sultana)",1,0,0,3,1
141,142,1,3,"Nysten, Miss. Anna Sofia",1,0,0,1,0
142,143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",1,0,0,2,0
143,144,0,3,"Burke, Mr. Jeremiah",0,0,0,1,2
144,145,0,2,"Andrew, Mr. Edgardo Samuel",0,0,0,1,0
145,146,0,2,"Nicholls, Mr. Joseph Charles",0,0,0,3,0
146,147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",0,0,0,1,0
147,148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",1,1,1,5,0
148,149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",0,0,0,3,0
149,150,0,2,"Byles, Rev. Thomas Roussel Davids",0,0,0,1,0
150,151,0,2,"Bateman, Rev. Robert James",0,0,0,1,0
151,152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",1,0,0,2,0
152,153,0,3,"Meo, Mr. Alfonzo",0,0,0,1,0
153,154,0,3,"van Billiard, Mr. Austin Blyler",0,0,0,3,0
154,155,0,3,"Olsen, Mr. Ole Martin",0,0,0,1,0
155,156,0,1,"Williams, Mr. Charles Duane",0,0,0,2,1
156,157,1,3,"Gilnagh, Miss. Katherine ""Katie""",1,1,1,1,2
157,158,0,3,"Corn, Mr. Harry",0,0,0,1,0
158,159,0,3,"Smiljanic, Mr. Mile",0,0,0,1,0
159,160,0,3,"Sage, Master. Thomas Henry",0,1,1,11,0
160,161,0,3,"Cribb, Mr. John Hatfield",0,0,0,2,0
161,162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",1,0,0,1,0
162,163,0,3,"Bengtsson, Mr. John Viktor",0,0,0,1,0
163,164,0,3,"Calic, Mr. Jovo",0,0,0,1,0
164,165,0,3,"Panula, Master. Eino Viljami",0,1,1,6,0
165,166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",0,1,1,3,0
166,167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",1,0,0,2,0
167,168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,0,0,6,0
168,169,0,1,"Baumann, Mr. John D",0,0,0,1,0
169,170,0,3,"Ling, Mr. Lee",0,0,0,1,0
170,171,0,1,"Van der hoef, Mr. Wyckoff",0,0,0,1,0
171,172,0,3,"Rice, Master. Arthur",0,1,1,6,2
172,173,1,3,"Johnson, Miss. Eleanor Ileen",1,1,1,3,0
173,174,0,3,"Sivola, Mr. Antti Wilhelm",0,0,0,1,0
174,175,0,1,"Smith, Mr. James Clinch",0,0,0,1,1
175,176,0,3,"Klasen, Mr. Klas Albin",0,0,0,3,0
176,177,0,3,"Lefebre, Master. Henry Forbes",0,1,1,5,0
177,178,0,1,"Isham, Miss. Ann Elizabeth",1,0,0,1,1
178,179,0,2,"Hale, Mr. Reginald",0,0,0,1,0
179,180,0,3,"Leonard, Mr. Lionel",0,0,0,1,0
180,181,0,3,"Sage, Miss. Constance Gladys",1,1,0,11,0
181,182,0,2,"Pernot, Mr. Rene",0,0,0,1,1
182,183,0,3,"Asplund, Master. Clarence Gustaf Hugo",0,1,1,7,0
183,184,1,2,"Becker, Master. Richard F",0,1,1,4,0
184,185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",1,1,1,3,0
185,186,0,1,"Rood, Mr. Hugh Roscoe",0,0,0,1,0
186,187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,0,0,2,2
187,188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",0,0,0,1,0
188,189,0,3,"Bourke, Mr. John",0,0,0,3,2
189,190,0,3,"Turcin, Mr. Stjepan",0,0,0,1,0
190,191,1,2,"Pinsky, Mrs. (Rosa)",1,0,0,1,0
191,192,0,2,"Carbines, Mr. William",0,0,0,1,0
192,193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",1,0,0,2,0
193,194,1,2,"Navratil, Master. Michel M",0,1,1,3,0
194,195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",1,0,0,1,1
195,196,1,1,"Lurette, Miss. Elise",1,0,0,1,1
196,197,0,3,"Mernagh, Mr. Robert",0,0,0,1,2
197,198,0,3,"Olsen, Mr. Karl Siegwart Andreas",0,0,0,2,0
198,199,1,3,"Madigan, Miss. Margaret ""Maggie""",1,0,0,1,2
199,200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",1,0,0,1,0
200,201,0,3,"Vande Walle, Mr. Nestor Cyriel",0,0,0,1,0
201,202,0,3,"Sage, Mr. Frederick",0,0,0,11,0
202,203,0,3,"Johanson, Mr. Jakob Alfred",0,0,0,1,0
203,204,0,3,"Youseff, Mr. Gerious",0,0,0,1,1
204,205,1,3,"Cohen, Mr. Gurshon ""Gus""",0,0,0,1,0
205,206,0,3,"Strom, Miss. Telma Matilda",1,1,1,2,0
206,207,0,3,"Backstrom, Mr. Karl Alfred",0,0,0,2,0
207,208,1,3,"Albimona, Mr. Nassef Cassem",0,0,0,1,1
208,209,1,3,"Carr, Miss. Helen ""Ellen""",1,1,1,1,2
209,210,1,1,"Blank, Mr. Henry",0,0,0,1,1
210,211,0,3,"Ali, Mr. Ahmed",0,0,0,1,0
211,212,1,2,"Cameron, Miss. Clear Annie",1,0,0,1,0
212,213,0,3,"Perkin, Mr. John Henry",0,0,0,1,0
213,214,0,2,"Givard, Mr. Hans Kristensen",0,0,0,1,0
214,215,0,3,"Kiernan, Mr. Philip",0,0,0,2,2
215,216,1,1,"Newell, Miss. Madeleine",1,0,0,2,1
216,217,1,3,"Honkanen, Miss. Eliina",1,0,0,1,0
217,218,0,2,"Jacobsohn, Mr. Sidney Samuel",0,0,0,2,0
218,219,1,1,"Bazzani, Miss. Albina",1,0,0,1,1
219,220,0,2,"Harris, Mr. Walter",0,0,0,1,0
220,221,1,3,"Sunderland, Mr. Victor Francis",0,1,1,1,0
221,222,0,2,"Bracken, Mr. James H",0,0,0,1,0
222,223,0,3,"Green, Mr. George Henry",0,0,0,1,0
223,224,0,3,"Nenkoff, Mr. Christo",0,0,0,1,0
224,225,1,1,"Hoyt, Mr. Frederick Maxfield",0,0,0,2,0
225,226,0,3,"Berglund, Mr. Karl Ivar Sven",0,0,0,1,0
226,227,1,2,"Mellors, Mr. William John",0,0,0,1,0
227,228,0,3,"Lovell, Mr. John Hall (""Henry"")",0,0,0,1,0
228,229,0,2,"Fahlstrom, Mr. Arne Jonas",0,0,0,1,0
229,230,0,3,"Lefebre, Miss. Mathilde",1,0,0,5,0
230,231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",1,0,0,2,0
231,232,0,3,"Larsson, Mr. Bengt Edvin",0,0,0,1,0
232,233,0,2,"Sjostedt, Mr. Ernst Adolf",0,0,0,1,0
233,234,1,3,"Asplund, Miss. Lillian Gertrud",1,1,1,7,0
234,235,0,2,"Leyson, Mr. Robert William Norman",0,0,0,1,0
235,236,0,3,"Harknett, Miss. Alice Phoebe",1,0,0,1,0
236,237,0,2,"Hold, Mr. Stephen",0,0,0,2,0
237,238,1,2,"Collyer, Miss. Marjorie ""Lottie""",1,1,1,3,0
238,239,0,2,"Pengelly, Mr. Frederick William",0,0,0,1,0
239,240,0,2,"Hunt, Mr. George Henry",0,0,0,1,0
240,241,0,3,"Zabour, Miss. Thamine",1,0,0,2,1
241,242,1,3,"Murphy, Miss. Katherine ""Kate""",1,0,0,2,2
242,243,0,2,"Coleridge, Mr. Reginald Charles",0,0,0,1,0
243,244,0,3,"Maenpaa, Mr. Matti Alexanteri",0,0,0,1,0
244,245,0,3,"Attalah, Mr. Sleiman",0,0,0,1,1
245,246,0,1,"Minahan, Dr. William Edward",0,0,0,3,2
246,247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",1,0,0,1,0
247,248,1,2,"Hamalainen, Mrs. William (Anna)",1,0,0,3,0
248,249,1,1,"Beckwith, Mr. Richard Leonard",0,0,0,3,0
249,250,0,2,"Carter, Rev. Ernest Courtenay",0,0,0,2,0
250,251,0,3,"Reed, Mr. James George",0,0,0,1,0
251,252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",1,0,0,3,0
252,253,0,1,"Stead, Mr. William Thomas",0,0,0,1,0
253,254,0,3,"Lobb, Mr. William Arthur",0,0,0,2,0
254,255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",1,0,0,3,0
255,256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,0,0,3,1
256,257,1,1,"Thorne, Mrs. Gertrude Maybelle",1,0,0,1,1
257,258,1,1,"Cherry, Miss. Gladys",1,0,0,1,0
258,259,1,1,"Ward, Miss. Anna",1,0,0,1,1
259,260,1,2,"Parrish, Mrs. (Lutie Davis)",1,0,0,2,0
260,261,0,3,"Smith, Mr. Thomas",0,0,0,1,2
261,262,1,3,"Asplund, Master. Edvin Rojj Felix",0,1,1,7,0
262,263,0,1,"Taussig, Mr. Emil",0,0,0,3,0
263,264,0,1,"Harrison, Mr. William",0,0,0,1,0
264,265,0,3,"Henry, Miss. Delia",1,0,0,1,2
265,266,0,2,"Reeves, Mr. David",0,0,0,1,0
266,267,0,3,"Panula, Mr. Ernesti Arvid",0,1,1,6,0
267,268,1,3,"Persson, Mr. Ernst Ulrik",0,0,0,2,0
268,269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",1,0,0,2,0
269,270,1,1,"Bissette, Miss. Amelia",1,0,0,1,0
270,271,0,1,"Cairns, Mr. Alexander",0,0,0,1,0
271,272,1,3,"Tornquist, Mr. William Henry",0,0,0,1,0
272,273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",1,0,0,2,0
273,274,0,1,"Natsch, Mr. Charles H",0,0,0,2,1
274,275,1,3,"Healy, Miss. Hanora ""Nora""",1,0,0,1,2
275,276,1,1,"Andrews, Miss. Kornelia Theodosia",1,0,0,2,0
276,277,0,3,"Lindblom, Miss. Augusta Charlotta",1,0,0,1,0
277,278,0,2,"Parkes, Mr. Francis ""Frank""",0,0,0,1,0
278,279,0,3,"Rice, Master. Eric",0,1,1,6,2
279,280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",1,0,0,3,0
280,281,0,3,"Duane, Mr. Frank",0,0,0,1,2
281,282,0,3,"Olsson, Mr. Nils Johan Goransson",0,0,0,1,0
282,283,0,3,"de Pelsmaeker, Mr. Alfons",0,1,1,1,0
283,284,1,3,"Dorking, Mr. Edward Arthur",0,0,0,1,0
284,285,0,1,"Smith, Mr. Richard William",0,0,0,1,0
285,286,0,3,"Stankovic, Mr. Ivan",0,0,0,1,1
286,287,1,3,"de Mulder, Mr. Theodore",0,0,0,1,0
287,288,0,3,"Naidenoff, Mr. Penko",0,0,0,1,0
288,289,1,2,"Hosono, Mr. Masabumi",0,0,0,1,0
289,290,1,3,"Connolly, Miss. Kate",1,0,0,1,2
290,291,1,1,"Barber, Miss. Ellen ""Nellie""",1,0,0,1,0
291,292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",1,0,0,2,1
292,293,0,2,"Levy, Mr. Rene Jacques",0,0,0,1,1
293,294,0,3,"Haas, Miss. Aloisia",1,0,0,1,0
294,295,0,3,"Mineff, Mr. Ivan",0,0,0,1,0
295,296,0,1,"Lewy, Mr. Ervin G",0,0,0,1,1
296,297,0,3,"Hanna, Mr. Mansour",0,0,0,1,1
297,298,0,1,"Allison, Miss. Helen Loraine",1,1,1,4,0
298,299,1,1,"Saalfeld, Mr. Adolphe",0,0,0,1,0
299,300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,0,0,2,1
300,301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",1,0,0,1,2
301,302,1,3,"McCoy, Mr. Bernard",0,1,0,3,2
302,303,0,3,"Johnson, Mr. William Cahoone Jr",0,0,0,1,0
303,304,1,2,"Keane, Miss. Nora A",1,0,0,1,2
304,305,0,3,"Williams, Mr. Howard Hugh ""Harry""",0,0,0,1,0
305,306,1,1,"Allison, Master. Hudson Trevor",0,1,1,4,0
306,307,1,1,"Fleming, Miss. Margaret",1,1,0,1,1
307,308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,0,0,2,1
308,309,0,2,"Abelson, Mr. Samuel",0,0,0,2,1
309,310,1,1,"Francatelli, Miss. Laura Mabel",1,0,0,1,1
310,311,1,1,"Hays, Miss. Margaret Bechstein",1,0,0,1,1
311,312,1,1,"Ryerson, Miss. Emily Borie",1,0,0,5,1
312,313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",1,0,0,3,0
313,314,0,3,"Hendekovic, Mr. Ignjac",0,0,0,1,0
314,315,0,2,"Hart, Mr. Benjamin",0,0,0,3,0
315,316,1,3,"Nilsson, Miss. Helmina Josefina",1,0,0,1,0
316,317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",1,0,0,2,0
317,318,0,2,"Moraweck, Dr. Ernest",0,0,0,1,0
318,319,1,1,"Wick, Miss. Mary Natalie",1,0,0,3,0
319,320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,0,0,3,1
320,321,0,3,"Dennis, Mr. Samuel",0,0,0,1,0
321,322,0,3,"Danoff, Mr. Yoto",0,0,0,1,0
322,323,1,2,"Slayter, Miss. Hilda Mary",1,0,0,1,2
323,324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",1,0,0,3,0
324,325,0,3,"Sage, Mr. George John Jr",0,0,0,11,0
325,326,1,1,"Young, Miss. Marie Grice",1,0,0,1,1
326,327,0,3,"Nysveen, Mr. Johan Hansen",0,0,0,1,0
327,328,1,2,"Ball, Mrs. (Ada E Hall)",1,0,0,1,0
328,329,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",1,0,0,3,0
329,330,1,1,"Hippach, Miss. Jean Gertrude",1,1,1,2,1
330,331,1,3,"McCoy, Miss. Agnes",1,0,0,3,2
331,332,0,1,"Partner, Mr. Austen",0,0,0,1,0
332,333,0,1,"Graham, Mr. George Edward",0,0,0,2,0
333,334,0,3,"Vander Planke, Mr. Leo Edmondus",0,1,1,3,0
334,335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1,0,0,2,0
335,336,0,3,"Denkoff, Mr. Mitto",0,0,0,1,0
336,337,0,1,"Pears, Mr. Thomas Clinton",0,0,0,2,0
337,338,1,1,"Burns, Miss. Elizabeth Margaret",1,0,0,1,1
338,339,1,3,"Dahl, Mr. Karl Edwart",0,0,0,1,0
339,340,0,1,"Blackwell, Mr. Stephen Weart",0,0,0,1,0
340,341,1,2,"Navratil, Master. Edmond Roger",0,1,1,3,0
341,342,1,1,"Fortune, Miss. Alice Elizabeth",1,0,0,6,0
342,343,0,2,"Collander, Mr. Erik Gustaf",0,0,0,1,0
343,344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",0,0,0,1,0
344,345,0,2,"Fox, Mr. Stanley Hubert",0,0,0,1,0
345,346,1,2,"Brown, Miss. Amelia ""Mildred""",1,0,0,1,0
346,347,1,2,"Smith, Miss. Marion Elsie",1,0,0,1,0
347,348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",1,0,0,2,0
348,349,1,3,"Coutts, Master. William Loch ""William""",0,1,1,3,0
349,350,0,3,"Dimic, Mr. Jovan",0,0,0,1,0
350,351,0,3,"Odahl, Mr. Nils Martin",0,0,0,1,0
351,352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",0,0,0,1,0
352,353,0,3,"Elias, Mr. Tannous",0,1,1,3,1
353,354,0,3,"Arnold-Franchi, Mr. Josef",0,0,0,2,0
354,355,0,3,"Yousif, Mr. Wazli",0,0,0,1,1
355,356,0,3,"Vanden Steen, Mr. Leo Peter",0,0,0,1,0
356,357,1,1,"Bowerman, Miss. Elsie Edith",1,0,0,2,0
357,358,0,2,"Funk, Miss. Annie Clemmer",1,0,0,1,0
358,359,1,3,"McGovern, Miss. Mary",1,0,0,1,2
359,360,1,3,"Mockler, Miss. Helen Mary ""Ellie""",1,0,0,1,2
360,361,0,3,"Skoog, Mr. Wilhelm",0,0,0,6,0
361,362,0,2,"del Carlo, Mr. Sebastiano",0,0,0,2,1
362,363,0,3,"Barbara, Mrs. (Catherine David)",1,0,0,2,1
363,364,0,3,"Asim, Mr. Adola",0,0,0,1,0
364,365,0,3,"O'Brien, Mr. Thomas",0,0,0,2,2
365,366,0,3,"Adahl, Mr. Mauritz Nils Martin",0,0,0,1,0
366,367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,0,0,2,1
367,368,1,3,"Moussa, Mrs. (Mantoura Boulos)",1,0,0,1,1
368,369,1,3,"Jermyn, Miss. Annie",1,0,0,1,2
369,370,1,1,"Aubart, Mme. Leontine Pauline",1,0,0,1,1
370,371,1,1,"Harder, Mr. George Achilles",0,0,0,2,1
371,372,0,3,"Wiklund, Mr. Jakob Alfred",0,0,0,2,0
372,373,0,3,"Beavan, Mr. William Thomas",0,0,0,1,0
373,374,0,1,"Ringhini, Mr. Sante",0,0,0,1,1
374,375,0,3,"Palsson, Miss. Stina Viola",1,1,1,5,0
375,376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",1,0,0,2,1
376,377,1,3,"Landergren, Miss. Aurora Adelia",1,0,0,1,0
